School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Feza Boys' Secondary and High School,1.5942,1.3333,1.4058,,,1.3043,1.0145,,,,,1.7551,1.0816,1.0145,,1.1014,,,,1.85,1.65,,1.0435,,2022
Feza Girls' Secondary and High School,1.8625,2.325,1.85,,,1.2625,1.775,,2.0875,,,3.1587,2.1169,1.65,,2.8125,,,,,,,,,2022
Gerezani Secondary School,4.3079,4.4427,4.5878,4.2066,,3.7837,4.0483,,3.1053,,,3.8684,3.1346,4.5115,,4.7226,,,,3.8889,4,,,,2022
Green Acres Secondary School,2.3684,2.6842,3.2632,2,,2.8947,3.1667,,4.3333,,,2.5,,2.9474,,3.8947,,,,2.75,3.5,,,,2022
Green Light Secondary School,2.2391,3.2174,2.5,,,2.2391,2.5,,2.7778,,,3.2667,2,2.1739,,2.913,,,,3.0667,3.2,,,,2022
Ilala Islamic Secondary School,2.5714,2.4737,2.6667,2.5952,,2.2857,2.6667,,,1.5,,3.2857,2.1429,1.6429,,2.619,,,,,,,,,2022
Ilala Secondary School,4.5028,4.2793,4.4078,4.2653,,3.5251,4.4441,,,,,4.4306,2.7083,4.3939,,4.8324,,,,,,,,,2022
Itega Secondary School,3.766,3.4326,3.7092,,,2.7589,3.8936,,,,,3.7778,2.2308,3.6099,,4.766,,,,,,,,,2022
Jamhuri Secondary School,3.4615,3.9423,4.1731,3.4516,,3.1154,3.8654,,4.3889,,,3.6667,3.5,4.0192,,4.6923,,,,,,,,,2022
Jangwani Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jitegemee Secondary School,3.9766,3.6016,3.2891,,,2.8203,3.2813,,4,,,4.4138,3.3448,3.6953,,4.6094,,,,3.3636,2.4545,,4.5625,,2022
Kenton Secondary School Tabata,3.7353,3.8529,3.8824,,,3.0294,3.4412,,3.9706,,,4.2727,2.9091,3.3529,,4.5588,,,,4,4,,,,2022
Kibasila Secondary School,3.0095,2.4952,2.8619,3.0196,-,2.1619,2.3238,2.25,2.4118,-,-,3.3816,2.3289,2.0619,2.5,2.6714,2.0833,2.3571,2.7143,2.8182,3.3636,-,-,,2022
Kigamboni Navy Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kijitonyama Secondary School,4.1866,4.1435,4.1196,4.5238,3.7368,3.3636,4.1388,,,,,3.8667,3.0328,4.2941,,4.7799,,,,,,,,,2022
Kinyamwezi Secondary School,4.6337,4.3468,4.6954,4.266,,3.4194,4.0311,,4.1818,,,4.16,3.7838,4.6062,,4.8242,,,,4.3333,4.8889,,,,2022
Kisutu Girls Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2022
Laureate Secondary School,2.9792,3,2.5417,3.1915,-,2.625,2.625,-,-,2,-,3,1.8537,1.9583,-,3.4792,-,-,-,-,-,-,-,,2022
Loyola Sekondari,2.7231,3.1231,3.3923,,2.1316,2.7154,2.6385,,3,,,3.7679,2.375,2.7077,,3.0846,3.125,,,3.6875,3.3438,,2.8077,,2022
Lumo Secondary School,3.6308,3.319,3.4659,2.0933,,3.0072,3.6344,,3.2174,,,3.569,2.431,3.4695,,4.3978,,,,,,,,,2022
Luqman Islamic Seminari Secondary School,3.7273,3.5455,3.2727,3.3636,-,3,3.0909,-,-,-,-,4.2,3.2,3.1818,-,3.8182,-,-,-,4,3,-,-,,2022
Maarifa Tandika Secondary School,3.7273,4.1364,4.1364,3.619,,3.1364,3.7273,,,,,4.3333,2.8333,3.7273,,4.6818,,,,5,4,,,,2022
Magoza Secondary School,4.3476,4.2232,4.2833,4.14,,3.5064,4.3433,,,,,3.8421,2.2105,4.2618,,4.6738,,3.0357,,4.3333,4.3,,,,2022
Makoka Secondary School,3.8548,4.0282,4.1129,4.5797,,3.1573,3.9073,,,,,4.2821,3.359,4.5282,,4.8185,,,,,,,,,2022
Makongo Juu Secondary School,4.6707,4.7348,4.7104,,,3.8018,4.5976,,3.8542,,,4.1333,2.9333,4.6951,,4.872,,,,,,,,,2022
Makongo Secondary School,3.0972,3.4167,2.9306,-,-,2.0972,2.9028,3.7,-,-,-,3.7353,2.8529,2.8472,-,4.2222,-,-,-,3.7931,3.5517,-,4.1111,,2022
Makumbusho Secondary School,4.5934,4.553,4.4369,,,3.5455,4.3434,,,,,4.4706,3.5424,4.6253,,4.8131,,,,,,,,,2022
Makurumla Secondary School,4.5496,4.645,4.4335,4.7079,-,3.4084,4.5878,-,4.7606,-,-,4.6038,3.5472,4.5115,-,4.7376,-,-,-,4.617,4.617,-,-,,2022
Manzese Secondary School,4.746,4.7767,4.7492,4.7417,,3.836,4.6817,,3.8933,,,4.6667,3.7105,4.7428,,4.9068,,,,,,,,,2022
Mashujaa Secondary School,4.4708,4.3957,4.5791,3.6182,,3.7518,4.2473,,3.8205,,,4.7778,3.4727,4.4926,,4.9137,,,,,,,,,2022
Mbezi Beach Secondary School,3.495,3.0495,2.901,-,-,2.495,2.7327,-,3.4412,-,-,3.7059,1.7647,2.9703,-,3.7327,-,-,-,3.1765,3.1765,-,-,,2022
Mchanganyiko Secondary School,4.4955,4.4131,4.4018,4.5344,,3.8597,4.3851,,3.3846,,,4.2623,3.15,4.456,,4.8077,,,,,,,,,2022
"Midland High School, Kimara, Dar es salaam",2.9643,2.25,2.7143,-,-,1.8929,2.0357,-,-,-,-,3.4375,2.4091,1.7857,-,3.4286,-,-,-,2,1,-,-,,2022
Mikocheni Secondary School,4.2888,4.3904,4.1604,4.2692,,2.7861,4.2406,,,,,3.5909,2.7353,4.1176,,4.2353,,,,,,,,,2022
Minazini Secondary School,4.6425,4.448,4.5837,3.6034,,3.4118,4.5566,,3.5385,,,4.4074,3.6897,4.5928,,4.905,,,,,,,,,2022
Mizimbini Secondary School,4.86,4.8758,4.8301,2.8556,,3.6209,4.9079,,4.2222,,,5,3.8,4.8693,,5,,,,,,,,,2022
Msimbazi Secondary School,4.6006,4.4095,4.7012,4.4563,,3.4438,4.5473,,4.2174,,,4.25,2.85,4.6213,,4.7929,,,,,,,,,2022
